subset	RMSE (kcal\mol)	r
fa_atr fa_rep fa_sol hbond_bb_sc hbond_sc	1.62028127721	0.607785885244
fa_pair fa_rep fa_sol hbond_bb_sc hbond_sc	1.8995679113	0.390866393134
fa_atr fa_pair fa_rep fa_sol hbond_bb_sc hbond_sc	1.63476441302	0.597988521433
hbond_lr_bb hbond_sc	1.99632660318	0.213710786523
fa_atr hbond_lr_bb hbond_sc	1.61467148171	0.608780282983
fa_pair hbond_lr_bb hbond_sc	1.98815874013	0.258843830105
fa_atr fa_pair hbond_lr_bb hbond_sc	1.63850584916	0.593414988134
fa_rep hbond_lr_bb hbond_sc	2.09083162397	0.190816949578
fa_atr fa_rep hbond_lr_bb hbond_sc	1.65330020728	0.586278556189
fa_pair fa_rep hbond_lr_bb hbond_sc	2.03665483343	0.245002183454
fa_atr fa_pair fa_rep hbond_lr_bb hbond_sc	1.66800717201	0.575197630394
fa_sol hbond_lr_bb hbond_sc	1.86403186107	0.408754760826
fa_atr fa_sol hbond_lr_bb hbond_sc	1.58419224565	0.62797350357
fa_pair fa_sol hbond_lr_bb hbond_sc	1.86266903926	0.410377530428
fa_atr fa_pair fa_sol hbond_lr_bb hbond_sc	1.6112739625	0.611448447188
fa_rep fa_sol hbond_lr_bb hbond_sc	1.94668846945	0.353739149762
fa_atr fa_rep fa_sol hbond_lr_bb hbond_sc	1.61490916491	0.611354788519
fa_pair fa_rep fa_sol hbond_lr_bb hbond_sc	1.92394722079	0.366008836207
fa_atr fa_pair fa_rep fa_sol hbond_lr_bb hbond_sc	1.63268516843	0.599396179941
hbond_bb_sc hbond_lr_bb hbond_sc	2.02518210829	0.204685416021
fa_atr hbond_bb_sc hbond_lr_bb hbond_sc	1.59969108412	0.61853745274
fa_pair hbond_bb_sc hbond_lr_bb hbond_sc	1.99496374049	0.259932319952
fa_atr fa_pair hbond_bb_sc hbond_lr_bb hbond_sc	1.61981998333	0.605788618495
fa_rep hbond_bb_sc hbond_lr_bb hbond_sc	2.09828940982	0.199349715628
fa_atr fa_rep hbond_bb_sc hbond_lr_bb hbond_sc	1.62537581975	0.603990610599
fa_pair fa_rep hbond_bb_sc hbond_lr_bb hbond_sc	2.03881914448	0.24907902407
fa_atr fa_pair fa_rep hbond_bb_sc hbond_lr_bb hbond_sc	1.64054896602	0.593443488955
fa_sol hbond_bb_sc hbond_lr_bb hbond_sc	1.83122576862	0.44667523414
fa_atr fa_sol hbond_bb_sc hbond_lr_bb hbond_sc	1.60125995131	0.618073185736
fa_pair fa_sol hbond_bb_sc hbond_lr_bb hbond_sc	1.83057282577	0.44554196567
fa_atr fa_pair fa_sol hbond_bb_sc hbond_lr_bb hbond_sc	1.62024581861	0.606140731226
fa_rep fa_sol hbond_bb_sc hbond_lr_bb hbond_sc	1.89331111721	0.405703451122
fa_atr fa_rep fa_sol hbond_bb_sc hbond_lr_bb hbond_sc	1.62356309615	0.605726701242
fa_pair fa_rep fa_sol hbond_bb_sc hbond_lr_bb hbond_sc	1.88301035769	0.408368279422
fa_atr fa_pair fa_rep fa_sol hbond_bb_sc hbond_lr_bb hbond_sc	1.63674570421	0.596679891988
hbond_sr_bb	2.08043968307	-0.117132984392
fa_atr hbond_sr_bb	1.61769498349	0.606334065063
fa_pair hbond_sr_bb	2.00490141659	0.215330729118
fa_atr fa_pair hbond_sr_bb	1.62905873432	0.59894487251
fa_rep hbond_sr_bb	2.16791680519	0.0346102161924
fa_atr fa_rep hbond_sr_bb	1.65483148465	0.584471799036
fa_pair fa_rep hbond_sr_bb	2.04788073584	0.203931241291
fa_atr fa_pair fa_rep hbond_sr_bb	1.65862801262	0.580778783532
fa_sol hbond_sr_bb	1.87674715418	0.393007585072
fa_atr fa_sol hbond_sr_bb	1.60325011802	0.615851796781
fa_pair fa_sol hbond_sr_bb	1.85828104918	0.412312054207
fa_atr fa_pair fa_sol hbond_sr_bb	1.61254268682	0.609927012755
fa_rep fa_sol hbond_sr_bb	1.95354533528	0.338871201245
fa_atr fa_rep fa_sol hbond_sr_bb	1.63359044597	0.599166319942
fa_pair fa_rep fa_sol hbond_sr_bb	1.91338778898	0.369995078874
fa_atr fa_pair fa_rep fa_sol hbond_sr_bb	1.63474484957	0.597476601895
hbond_bb_sc hbond_sr_bb	2.11894055299	-0.136600022066
fa_atr hbond_bb_sc hbond_sr_bb	1.61263124499	0.609524728819
fa_pair hbond_bb_sc hbond_sr_bb	2.02394336456	0.187062351189
fa_atr fa_pair hbond_bb_sc hbond_sr_bb	1.62054306161	0.604400115168
fa_rep hbond_bb_sc hbond_sr_bb	2.19617258432	0.00378707744658
fa_atr fa_rep hbond_bb_sc hbond_sr_bb	1.63921993318	0.593929602424
fa_pair fa_rep hbond_bb_sc hbond_sr_bb	2.06748508187	0.179344203758
fa_atr fa_pair fa_rep hbond_bb_sc hbond_sr_bb	1.642818216	0.590821924887
fa_sol hbond_bb_sc hbond_sr_bb	1.85840621683	0.414643203122
fa_atr fa_sol hbond_bb_sc hbond_sr_bb	1.62125637649	0.604458566765
fa_pair fa_sol hbond_bb_sc hbond_sr_bb	1.83984686269	0.431712426234
fa_atr fa_pair fa_sol hbond_bb_sc hbond_sr_bb	1.62439248935	0.60229793052
fa_rep fa_sol hbond_bb_sc hbond_sr_bb	1.9208047018	0.36902044477
fa_atr fa_rep fa_sol hbond_bb_sc hbond_sr_bb	1.64493225745	0.591079303263
fa_pair fa_rep fa_sol hbond_bb_sc hbond_sr_bb	1.89042011962	0.39193546125
fa_atr fa_pair fa_rep fa_sol hbond_bb_sc hbond_sr_bb	1.64297051704	0.591646936567
hbond_lr_bb hbond_sr_bb	2.0746985009	-0.0315823602242
fa_atr hbond_lr_bb hbond_sr_bb	1.61927598686	0.605488322037
fa_pair hbond_lr_bb hbond_sr_bb	2.00396667662	0.22165494078
fa_atr fa_pair hbond_lr_bb hbond_sr_bb	1.63185015835	0.59727733621
fa_rep hbond_lr_bb hbond_sr_bb	2.1635055983	0.0596287954288
fa_atr fa_rep hbond_lr_bb hbond_sr_bb	1.65853360075	0.582467151176
fa_pair fa_rep hbond_lr_bb hbond_sr_bb	2.04844658476	0.211205515872
fa_atr fa_pair fa_rep hbond_lr_bb hbond_sr_bb	1.66330577731	0.578002794697
fa_sol hbond_lr_bb hbond_sr_bb	1.86915413119	0.402580018746
fa_atr fa_sol hbond_lr_bb hbond_sr_bb	1.6052696814	0.614705196368
fa_pair fa_sol hbond_lr_bb hbond_sr_bb	1.85394330358	0.417805908846
fa_atr fa_pair fa_sol hbond_lr_bb hbond_sr_bb	1.61557140616	0.608110631081
fa_rep fa_sol hbond_lr_bb hbond_sr_bb	1.94771802133	0.349279487887
fa_atr fa_rep fa_sol hbond_lr_bb hbond_sr_bb	1.63730647854	0.597034839677
fa_pair fa_rep fa_sol hbond_lr_bb hbond_sr_bb	1.91113452224	0.375456083871
fa_atr fa_pair fa_rep fa_sol hbond_lr_bb hbond_sr_bb	1.63906214048	0.594857486726
hbond_bb_sc hbond_lr_bb hbond_sr_bb	2.10512442698	-0.0291289566371
fa_atr hbond_bb_sc hbond_lr_bb hbond_sr_bb	1.60658034964	0.613521736634
fa_pair hbond_bb_sc hbond_lr_bb hbond_sr_bb	2.01442431451	0.208794337086
fa_atr fa_pair hbond_bb_sc hbond_lr_bb hbond_sr_bb	1.61578743114	0.607591497722
fa_rep hbond_bb_sc hbond_lr_bb hbond_sr_bb	2.17968303255	0.0484564105675
fa_atr fa_rep hbond_bb_sc hbond_lr_bb hbond_sr_bb	1.63447198922	0.59736166267
fa_pair fa_rep hbond_bb_sc hbond_lr_bb hbond_sr_bb	2.05741405213	0.200280181011
fa_atr fa_pair fa_rep hbond_bb_sc hbond_lr_bb hbond_sr_bb	1.6394357556	0.593347103663
fa_sol hbond_bb_sc hbond_lr_bb hbond_sr_bb	1.8302977717	0.443914669072
fa_atr fa_sol hbond_bb_sc hbond_lr_bb hbond_sr_bb	1.61693308958	0.607304606376
fa_pair fa_sol hbond_bb_sc hbond_lr_bb hbond_sr_bb	1.81761856923	0.454177261438
fa_atr fa_pair fa_sol hbond_bb_sc hbond_lr_bb hbond_sr_bb	1.62105557604	0.604502346256
fa_rep fa_sol hbond_bb_sc hbond_lr_bb hbond_sr_bb	1.89078663426	0.401728724777
fa_atr fa_rep fa_sol hbond_bb_sc hbond_lr_bb hbond_sr_bb	1.64188914846	0.593104233248
fa_pair fa_rep fa_sol hbond_bb_sc hbond_lr_bb hbond_sr_bb	1.86784847243	0.416599803824
fa_atr fa_pair fa_rep fa_sol hbond_bb_sc hbond_lr_bb hbond_sr_bb	1.6408303381	0.593045264451
hbond_sc hbond_sr_bb	2.01730223537	0.184792407228
fa_atr hbond_sc hbond_sr_bb	1.61451711291	0.608793163562
fa_pair hbond_sc hbond_sr_bb	2.00725482912	0.236726338363
fa_atr fa_pair hbond_sc hbond_sr_bb	1.6386052784	0.593173256257
