subset	RMSE (kcal\mol)	r
fa_atr fa_pair fa_sol hbond_bb_sc hbond_sc	1.56790401142	0.378695762651
fa_rep fa_sol hbond_bb_sc hbond_sc	1.91956667112	-0.0859526740331
fa_atr fa_rep fa_sol hbond_bb_sc hbond_sc	1.57709711613	0.366233440243
fa_pair fa_rep fa_sol hbond_bb_sc hbond_sc	1.85411475866	-0.0297345573821
fa_atr fa_pair fa_rep fa_sol hbond_bb_sc hbond_sc	1.5841154726	0.363814011395
hbond_lr_bb hbond_sc	1.79236775847	-0.258477973883
fa_atr hbond_lr_bb hbond_sc	1.86996546925	0.0190329542276
fa_pair hbond_lr_bb hbond_sc	1.7468742864	-0.121976915171
fa_atr fa_pair hbond_lr_bb hbond_sc	1.80900477092	0.0795796924509
fa_rep hbond_lr_bb hbond_sc	1.82592441657	-0.0499054061481
fa_atr fa_rep hbond_lr_bb hbond_sc	1.8844743785	0.0334639736384
fa_pair fa_rep hbond_lr_bb hbond_sc	1.78386316195	0.00933167435174
fa_atr fa_pair fa_rep hbond_lr_bb hbond_sc	1.82806288022	0.0845483517101
fa_sol hbond_lr_bb hbond_sc	1.88005477356	-0.193640654036
fa_atr fa_sol hbond_lr_bb hbond_sc	1.55684409223	0.402420090267
fa_pair fa_sol hbond_lr_bb hbond_sc	1.82748547972	-0.0943116892206
fa_atr fa_pair fa_sol hbond_lr_bb hbond_sc	1.56181632721	0.402350791544
fa_rep fa_sol hbond_lr_bb hbond_sc	1.88760999045	-0.0799415971221
fa_atr fa_rep fa_sol hbond_lr_bb hbond_sc	1.57126234505	0.389468095649
fa_pair fa_rep fa_sol hbond_lr_bb hbond_sc	1.84342929598	-0.0214855970868
fa_atr fa_pair fa_rep fa_sol hbond_lr_bb hbond_sc	1.57294763425	0.392211450091
hbond_bb_sc hbond_lr_bb hbond_sc	1.89294345078	-0.226432300699
fa_atr hbond_bb_sc hbond_lr_bb hbond_sc	1.87559467205	0.0479139738188
fa_pair hbond_bb_sc hbond_lr_bb hbond_sc	1.82823376866	-0.171562383744
fa_atr fa_pair hbond_bb_sc hbond_lr_bb hbond_sc	1.77373062534	0.140319263895
